"","subNo","periodicity","th.modelfree","th.dg.estimate","th.glm.estimate","sl.modelfree","sl.dg.estimate","sl.glm.estimate","B0.original","B0.bootBias","B0.bootSE","B0.bootMEAN","B1.original","B1.bootBias","B1.bootSE","B1.bootMEAN","thresh.95.c.int.1","thresh.95.c.int.2","slope.95.c.int.1","slope.95.c.int.2","boot.thresh","boot.slope"
"11","6","periodic",-0.940840840840841,-0.942861588007642,-0.942861588007642,0.170698269997993,-0.272395517906591,0.682795022089507,0.362282907049224,0.0115021488782368,0.113647451079826,0.373785055927461,0.394761854102793,0.0100528118893332,0.0516143852337434,0.404814665992126,0.128035847119751,0.573525669222223,0.283546706071147,0.485871378355773,-0.923348602035903,0.404814665992126
"12","6","aperiodic",-1.30780780780781,-0.0674725471718737,-0.0674725471718737,0.102158635116755,-0.117558547865219,0.294675888587743,0.434441892035148,0.00666972542001232,0.10276851799809,0.44111161745516,0.286653705475678,0.00654778084209923,0.0415013017530874,0.293201486317778,0.226349572594323,0.629194760635948,0.198764867885999,0.361446981381159,-1.50446582994833,0.293201486317778
"13","7","periodic",1.43175675675676,1.43261409589089,1.43261409589089,0.07141252640088,-0.0714125346984654,0.179004866091914,-0.256444894396337,-0.00470528302394913,0.102424311992434,-0.261150177420286,0.179004866091914,0.00316305731716499,0.023842116044048,0.182167923409079,-0.452487574018851,-0.0509916487259235,0.12911212001319,0.222571497536308,1.43356839411208,0.182167923409079
"14","7","aperiodic",0.756261261261261,0.751342491716924,0.751342491716924,0.13329813281326,-0.167067074162695,0.418775490397261,-0.0886853705026803,-0.0457621645846263,0.105090162763403,-0.134447535087307,0.198615135501862,0.0043820491925442,0.0265294738456353,0.202997184694407,-0.248896140063775,0.163049728227667,0.142236273043076,0.246229899575561,0.662312313787528,0.202997184694407
"15","8","periodic",1.73423423423423,1.733404454579,1.733404454579,0.09151509061484,-0.0915151773886813,0.229394771422261,-0.397633918640479,-0.00957583755980379,0.117800353456028,-0.407209756200283,0.229394771422261,0.00497558517275826,0.0290586259685161,0.234370356595019,-0.618942531220578,-0.157173630940772,0.167465325910991,0.281373046588014,1.73746271549146,0.234370356595019
"16","8","aperiodic",2.1996996996997,2.20075348034959,2.20075348034959,0.077228121916775,-0.0772281513949675,0.193582470603432,-0.426027295915176,-0.00743399501732417,0.10983559364239,-0.4334612909325,0.193582470603432,0.00340995376152659,0.0255115834720695,0.196992424364959,-0.633867108657512,-0.203319493138191,0.140170732048062,0.240174301635749,2.20039573770333,0.196992424364959
"17","9","periodic",1.28378378378378,1.27761997441071,1.27761997441071,0.0675968409584963,-0.0847204199741553,0.212362822531916,-0.131704347665338,-0.0225725138188488,0.0955211022025261,-0.154276861484187,0.12665749704404,0.00535887489327763,0.021095504204594,0.132016371937317,-0.29634975392701,0.0780860862340312,0.0799521936740446,0.162645050627479,1.16861915851952,0.132016371937317
"18","9","aperiodic",2.13963963963964,4.59504922196126,4.59504922196126,0.0517582510951869,-0.0595829119478128,0.14935236817485,-0.20504401908832,-0.00223705785763603,0.0938876947906212,-0.207281076945956,0.119697863160075,0.00295964143822197,0.0202355528904401,0.122657504598297,-0.38682346161179,-0.0187904608495777,0.0770772668493355,0.156399176594371,1.68991760940189,0.122657504598297
"19","10","periodic",-0.382882882882883,-0.375680742049401,-0.375680742049401,0.0901085269904808,-0.143792847591759,0.360435594910917,0.0776114033454847,0.000242561700084964,0.109691994395726,0.0778539650455697,0.210005424616934,0.00371835016093466,0.0261794185260457,0.213723774777868,-0.137623516762592,0.292361200053392,0.154976357008749,0.257597791903249,-0.36427376938521,0.213723774777868
"20","10","aperiodic",0.0525525525525525,0.0504375864966652,0.0504375864966652,0.0896244750978433,-0.0896245613256098,0.224655694779338,-0.0113310910374013,0.000341232186800013,0.109803533231837,-0.0109898588506013,0.224655694779338,0.00430498894951464,0.0271800919072591,0.228960683728853,-0.226883293733849,0.203538647285447,0.167078704595107,0.27362270706454,0.047998890777318,0.228960683728853
"21","11","periodic",-1.28378378378378,-1.2886190845763,-1.2886190845763,0.0649464777379649,-0.0649464945244356,0.162796889993819,0.209783179355704,0.00295590555562059,0.0994809794821616,0.212739084911325,0.162796889993819,0.00256113545553288,0.0223686620741487,0.165358025449352,0.0118481368682789,0.401806410731888,0.116393982490608,0.204077526585965,-1.28653619522377,0.165358025449352
"22","11","aperiodic",-0.638138138138138,-0.634057099478083,-0.634057099478083,0.157474243346489,-0.197368923457708,0.49473104215431,0.0893126390416312,0.0325674661815957,0.109563185438781,0.121880105223227,0.221707907891484,-0.00137260990022831,0.0285969221338749,0.220335297991256,-0.157994724631458,0.27148507035153,0.167031580340622,0.279129455242804,-0.553157421141226,0.220335297991256
"23","12","periodic",1.62912912912913,1.62815317909503,1.62815317909503,0.136913154441988,-0.13691362467199,0.34319192217518,-0.558769019129253,-0.0218726485517985,0.155654858855201,-0.580641667681052,0.34319192217518,0.0118710267374347,0.0461586032110057,0.355062948912615,-0.841974287952314,-0.231818453202595,0.2408516955675,0.421790095307992,1.63532035505049,0.355062948912615
"24","12","aperiodic",1.43393393393393,1.43284294726901,1.43284294726901,0.145642715014547,-0.145643303424276,0.365074004678992,-0.523093712835545,-0.0187063220092664,0.151197067632224,-0.541800034844812,0.365074004678992,0.0120982410965041,0.0496396502728319,0.377172245775496,-0.800728197953504,-0.208046583699054,0.255683836842573,0.450267690322402,1.43647906470644,0.377172245775496
"25","13","periodic",-0.608108108108108,-0.61473114849388,-0.61473114849388,0.175723245349029,-0.280417557418452,0.702903314207526,0.227749113136533,0.0259522995636925,0.189834888515152,0.253701412700225,0.382965384218642,0.0301020835429858,0.0947941802481993,0.413067467761628,-0.170272730926034,0.573866358071714,0.167070121445187,0.538656479906125,-0.614188800863472,0.413067467761628
"26","13","aperiodic",-0.773273273273273,-0.77174447118767,-0.77174447118767,0.134854752863284,-0.134855208656287,0.338032232986046,0.260874506890203,0.0121151781350136,0.173400328826709,0.272989685025217,0.338032232986046,0.0167543683219369,0.0586093861613839,0.354786601307983,-0.0910990706525622,0.588617728162941,0.206405578631796,0.436150150696422,-0.769447560924772,0.354786601307983
